date_utc,gas_gwei,intensity,demand_base,demand_std,attack_drift,attack_noise,volatility_drift,volatility_noise,mev_drift,mev_noise,oracle_drift,oracle_noise,swap_flow_std,gas_delta_gwei
7/30/2015,0.0,0.5,9.75,0.8,0.22,0.05,0.03,0.02,0.305,0.03,0.05,0.008,0.2,0.0
7/31/2015,0.0,0.5,9.75,0.8,0.22,0.05,0.03,0.02,0.305,0.03,0.05,0.008,0.2,0.0
8/1/2015,0.0,0.5,9.75,0.8,0.22,0.05,0.03,0.02,0.305,0.03,0.05,0.008,0.2,0.0
8/2/2015,0.0,0.5,9.75,0.8,0.22,0.05,0.03,0.02,0.305,0.03,0.05,0.008,0.2,0.0
8/3/2015,0.0,0.5,9.75,0.8,0.22,0.05,0.03,0.02,0.305,0.03,0.05,0.008,0.2,0.0
8/4/2015,0.0,0.5,9.75,0.8,0.22,0.05,0.03,0.02,0.305,0.03,0.05,0.008,0.2,0.0
8/5/2015,0.0,0.5,9.75,0.8,0.22,0.05,0.03,0.02,0.305,0.03,0.05,0.008,0.2,0.0
8/6/2015,0.0,0.5,9.75,0.8,0.22,0.05,0.03,0.02,0.305,0.03,0.05,0.008,0.2,0.0
8/7/2015,604.68415487,0.9444444444444445,11.305555555555555,0.8,0.3088888888888889,0.05,0.043333333333333335,0.02,0.4161111111111111,0.03,0.06777777777777778,0.008,0.2,604.68415487
8/8/2015,322.713574989,0.685612413173435,10.399643446107023,1.173048412279459,0.257122482634687,0.07797863092095943,0.03556837239520305,0.03865242061397295,0.3514031032933588,0.05331552576746619,0.0574244965269374,0.012663105153493238,0.2932621030698648,-281.97057988100005
8/9/2015,475.467129048,0.7550490730716334,10.642671755750717,1.1786727696576305,0.2710098146143267,0.07840045772432228,0.037651472192148996,0.03893363848288152,0.36876226826790837,0.0536670481036019,0.06020196292286534,0.012733409620720379,0.2946681924144076,152.753554059
8/10/2015,421.654904254,0.6930065634505559,10.425522972076946,0.8905420736895021,0.2586013126901112,0.05679065552671266,0.035790196903516674,0.024527103684475103,0.35325164086263894,0.03565887960559388,0.05772026253802223,0.009131775921118777,0.22263551842237553,-53.81222479400003
